"","dec.attractor","label"
"901",489012740,"M2a"
"902",220577284,"M2a"
"903",354795012,"M2a"
"904",86359556,"M2a"
"905",338017796,"M2a"
"906",69582340,"M2a"
"907",472235524,"M2a"
"908",203800068,"M2a"
"909",505789956,"M2a"
"910",237354500,"M2a"
"911",371572228,"M2a"
"912",103136772,"M2a"
"913",372096516,"M2a"
"914",103661060,"M2a"
"915",506314244,"M2a"
"916",237878788,"M2a"
"917",472759812,"M2a"
"918",204324356,"M2a"
"919",338542084,"M2a"
"920",70106628,"M2a"
"921",355319300,"M2a"
"922",86883844,"M2a"
"923",489537028,"M2a"
"924",221101572,"M2a"
"925",523091460,"M2a"
"926",254656004,"M2a"
"927",388873732,"M2a"
"928",120438276,"M2a"
"929",389922308,"M2a"
"930",121486852,"M2a"
"931",524140036,"M2a"
"932",255704580,"M2a"
"933",490585604,"M2a"
"934",222150148,"M2a"
"935",356367876,"M2a"
"936",87932420,"M2a"
"937",339590660,"M2a"
"938",71155204,"M2a"
"939",473808388,"M2a"
"940",205372932,"M2a"
"941",507362820,"M2a"
"942",238927364,"M2a"
"943",373145092,"M2a"
"944",104709636,"M2a"
"945",373145348,"NoLabel"
"946",104709892,"NoLabel"
"947",507363076,"NoLabel"
"948",238927620,"NoLabel"
"949",524140292,"NoLabel"
"950",255704836,"NoLabel"
"951",389922564,"NoLabel"
"952",121487108,"NoLabel"
"953",388873988,"NoLabel"
"954",120438532,"NoLabel"
"955",523091716,"NoLabel"
"956",254656260,"NoLabel"
"957",506314500,"NoLabel"
"958",237879044,"NoLabel"
"959",372096772,"NoLabel"
"960",103661316,"NoLabel"
"961",371572484,"NoLabel"
"962",103137028,"NoLabel"
"963",505790212,"NoLabel"
"964",237354756,"NoLabel"
"965",522567428,"NoLabel"
"966",254131972,"NoLabel"
"967",388349700,"NoLabel"
"968",119914244,"NoLabel"
"969",389398276,"NoLabel"
"970",120962820,"NoLabel"
"971",523616004,"NoLabel"
"972",255180548,"NoLabel"
"973",506838788,"NoLabel"
"974",238403332,"NoLabel"
"975",372621060,"NoLabel"
"976",104185604,"NoLabel"
"977",305498372,"M2b"
"978",37062916,"M2b"
"979",439716100,"M2b"
"980",171280644,"M2b"
"981",456493316,"M2b"
"982",188057860,"M2b"
"983",322275588,"M2b"
"984",53840132,"M2b"
"985",321227012,"M2b"
"986",52791556,"M2b"
"987",455444740,"M2b"
"988",187009284,"M2b"
"989",438667524,"M2b"
"990",170232068,"M2b"
"991",304449796,"M2b"
"992",36014340,"M2b"
"993",21512493,"M1*"
"994",21692717,"M1*"
"995",155730221,"M1*"
"996",155910445,"M1*"
"997",4735277,"M1*"
"998",4915501,"M1*"
"999",138953005,"M1*"
"1000",139133229,"M1*"
"1001",540973,"M1*"
"1002",721197,"M1*"
"1003",134758701,"M1*"
"1004",134938925,"M1*"
"1005",17318189,"M1*"
"1006",17498413,"M1*"
"1007",151535917,"M1*"
"1008",151716141,"M1*"
"1009",19415341,"M1*"
"1010",19595565,"M1*"
"1011",153633069,"M1*"
"1012",153813293,"M1*"
"1013",2638125,"M1*"
"1014",2818349,"M1*"
"1015",136855853,"M1*"
"1016",137036077,"M1*"
"1017",162021869,"NoLabel*"
"1018",162202093,"NoLabel*"
"1019",27804141,"NoLabel*"
"1020",27984365,"NoLabel*"
"1021",159924717,"NoLabel*"
"1022",160104941,"NoLabel*"
"1023",25706989,"NoLabel*"
"1024",25887213,"NoLabel*"
"1025",143147437,"M1*"
"1026",143327661,"M1*"
"1027",8929709,"M1*"
"1028",9109933,"M1*"
"1029",145244589,"M1*"
